match_id,innings,batting_team,over,over_runs,legal_balls,wickets,over_run_rate,wicket_over,high_scoring_over,momentum
1527682,2,Gujarat Titans,18,4,6,0,4.0,0,0,Low
1527682,2,Gujarat Titans,19,4,6,1,4.0,1,0,Low
1527683,1,Sunrisers Hyderabad,0,1,6,1,1.0,1,0,Low
1527683,1,Sunrisers Hyderabad,1,7,6,0,7.0,0,0,Medium
1527683,1,Sunrisers Hyderabad,2,2,6,1,2.0,1,0,Low
1527683,1,Sunrisers Hyderabad,3,1,6,1,1.0,1,0,Low
1527683,1,Sunrisers Hyderabad,4,4,6,0,4.0,0,0,Low
1527683,1,Sunrisers Hyderabad,5,7,6,0,7.0,0,0,Medium
1527683,1,Sunrisers Hyderabad,6,4,6,0,4.0,0,0,Low
1527683,1,Sunrisers Hyderabad,7,3,6,1,3.0,1,0,Low
1527683,1,Sunrisers Hyderabad,8,2,6,0,2.0,0,0,Low
1527683,1,Sunrisers Hyderabad,9,4,6,0,4.0,0,0,Low
1527683,1,Sunrisers Hyderabad,10,16,6,0,16.0,0,1,Very High
1527683,1,Sunrisers Hyderabad,11,14,6,0,14.0,0,0,High
1527683,1,Sunrisers Hyderabad,12,8,6,0,8.0,0,0,Medium
1527683,1,Sunrisers Hyderabad,13,19,6,0,19.0,0,1,Very High
1527683,1,Sunrisers Hyderabad,14,22,6,0,22.0,0,1,Very High
1527683,1,Sunrisers Hyderabad,15,9,6,0,9.0,0,0,Medium
1527683,1,Sunrisers Hyderabad,16,11,6,0,11.0,0,0,High
1527683,1,Sunrisers Hyderabad,17,10,6,1,10.0,1,0,High
1527683,1,Sunrisers Hyderabad,18,2,6,2,2.0,1,0,Low
1527683,1,Sunrisers Hyderabad,19,10,6,2,10.0,1,0,High
1527683,2,Lucknow Super Giants,0,2,6,0,2.0,0,0,Low
1527683,2,Lucknow Super Giants,1,14,6,0,14.0,0,0,High
1527683,2,Lucknow Super Giants,2,8,6,0,8.0,0,0,Medium
1527683,2,Lucknow Super Giants,3,9,6,0,9.0,0,0,Medium
1527683,2,Lucknow Super Giants,4,5,6,1,5.0,1,0,Low
1527683,2,Lucknow Super Giants,5,15,6,0,15.0,0,1,Very High
1527683,2,Lucknow Super Giants,6,4,6,0,4.0,0,0,Low
1527683,2,Lucknow Super Giants,7,10,6,0,10.0,0,0,High
1527683,2,Lucknow Super Giants,8,9,6,0,9.0,0,0,Medium
1527683,2,Lucknow Super Giants,9,5,6,1,5.0,1,0,Low
1527683,2,Lucknow Super Giants,10,8,6,0,8.0,0,0,Medium
1527683,2,Lucknow Super Giants,11,13,6,0,13.0,0,0,High
1527683,2,Lucknow Super Giants,12,3,6,1,3.0,1,0,Low
1527683,2,Lucknow Super Giants,13,3,6,1,3.0,1,0,Low
1527683,2,Lucknow Super Giants,14,6,6,0,6.0,0,0,Medium
1527683,2,Lucknow Super Giants,15,14,6,0,14.0,0,0,High
1527683,2,Lucknow Super Giants,16,10,6,0,10.0,0,0,High
1527683,2,Lucknow Super Giants,17,6,6,1,6.0,1,0,Medium
1527683,2,Lucknow Super Giants,18,4,6,0,4.0,0,0,Low
1527683,2,Lucknow Super Giants,19,12,5,0,14.4,0,0,High
1527684,1,Royal Challengers Bengaluru,0,5,6,0,5.0,0,0,Low
1527684,1,Royal Challengers Bengaluru,1,6,6,0,6.0,0,0,Medium
