batter,innings,average_runs,highest_score,ducks,runs,balls_faced,strike_rate,fours,sixes,boundary_percentage,dot_ball_percentage,scores_30_plus,scores_50_plus,scores_100_plus,30_plus_percentage
Mohammed Siraj,2,2.5,5,1,5,16,31.25,1,0,80.0,93.75,0,0,0,0.0
MP Yadav,1,5.0,5,0,5,5,100.0,1,0,80.0,80.0,0,0,0,0.0
Harpreet Brar,1,5.0,5,0,5,3,166.67,1,0,80.0,33.33,0,0,0,0.0
SR Dubey,1,4.0,4,0,4,2,200.0,1,0,100.0,50.0,0,0,0,0.0
JD Unadkat,1,4.0,4,0,4,3,133.33,0,0,0.0,33.33,0,0,0,0.0
L Ngidi,3,1.33,3,1,4,6,66.67,0,0,0.0,66.67,0,0,0,0.0
Ravi Singh,1,4.0,4,0,4,2,200.0,1,0,100.0,50.0,0,0,0,0.0
PP Hinge,2,1.5,3,1,3,9,33.33,0,0,0.0,77.78,0,0,0,0.0
Rasikh Salam,1,3.0,3,0,3,2,150.0,0,0,0.0,50.0,0,0,0,0.0
AF Milne,1,2.0,2,0,2,2,100.0,0,0,0.0,50.0,0,0,0,0.0
Brijesh Sharma,2,1.0,1,0,2,4,50.0,0,0,0.0,50.0,0,0,0,0.0
DS Rathi,2,1.0,2,1,2,5,40.0,0,0,0.0,60.0,0,0,0,0.0
AM Ghazanfar,1,2.0,2,0,2,3,66.67,0,0,0.0,33.33,0,0,0,0.0
DV Malewar,2,1.0,2,1,2,5,40.0,0,0,0.0,60.0,0,0,0,0.0
Vijaykumar Vyshak,2,1.0,1,0,2,4,50.0,0,0,0.0,50.0,0,0,0,0.0
Mukesh Choudhary,1,2.0,2,0,2,2,100.0,0,0,0.0,50.0,0,0,0,0.0
Ashok Sharma,2,0.5,1,1,1,4,25.0,0,0,0.0,100.0,0,0,0,0.0
Ashwani Kumar,1,1.0,1,0,1,6,16.67,0,0,0.0,83.33,0,0,0,0.0
VG Arora,2,0.5,1,1,1,3,33.33,0,0,0.0,66.67,0,0,0,0.0
Arshdeep Singh,1,1.0,1,0,1,1,100.0,0,0,0.0,0.0,0,0,0,0.0
T Natarajan,1,1.0,1,0,1,2,50.0,0,0,0.0,50.0,0,0,0,0.0
SS Mishra,1,1.0,1,0,1,3,33.33,0,0,0.0,66.67,0,0,0,0.0
A Nortje,1,0.0,0,1,0,1,0.0,0,0,,100.0,0,0,0,0.0
Prince Yadav,1,0.0,0,1,0,1,0.0,0,0,,100.0,0,0,0,0.0
MA Starc,1,0.0,0,1,0,2,0.0,0,0,,100.0,0,0,0,0.0
Mohsin Khan,2,0.0,0,2,0,4,0.0,0,0,,100.0,0,0,0,0.0
JR Hazlewood,1,0.0,0,1,0,1,0.0,0,0,,100.0,0,0,0,0.0
PVD Chameera,1,0.0,0,1,0,3,0.0,0,0,,100.0,0,0,0,0.0
SH Johnson,1,0.0,0,1,0,1,0.0,0,0,,100.0,0,0,0,0.0
Ravi Bishnoi,2,0.0,0,2,0,3,0.0,0,0,,100.0,0,0,0,0.0
