match_id,match_date,venue,city,team1,team2,toss_winner,toss_decision,first_innings_team,first_innings_runs,second_innings_team,second_innings_runs,winner,result_type,run_margin,wickets_margin,total_match_runs,team1_win,team1_prev_win_pct,team2_prev_win_pct,team1_recent_form,team2_recent_form,team1_avg_runs,team2_avg_runs,team1_avg_conceded,team2_avg_conceded,toss_winner_is_team1
1529269,2026-04-18,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,Royal Challengers Bengaluru,175,Delhi Capitals,179.0,Delhi Capitals,Chased,,5.0,354,0,0.8,0.5,0.6666666666666666,0.3333333333333333,208.6,176.75,195.6,181.25,0
1529270,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Sunrisers Hyderabad,194,Chennai Super Kings,184.0,Sunrisers Hyderabad,Defended,10.0,,378,1,0.4,0.4,0.3333333333333333,0.6666666666666666,203.6,189.4,181.2,187.4,0
1529271,2026-04-19,"Eden Gardens, Kolkata",Kolkata,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,155,Kolkata Knight Riders,161.0,Kolkata Knight Riders,Chased,,4.0,316,0,0.8,0.0,0.6666666666666666,0.0,169.8,180.4,174.2,201.0,1
1529272,2026-04-19,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",New Chandigarh,Punjab Kings,Lucknow Super Giants,Lucknow Super Giants,field,Punjab Kings,254,Lucknow Super Giants,200.0,Punjab Kings,Defended,54.0,,454,1,1.0,0.4,1.0,0.3333333333333333,199.0,158.6,196.25,159.2,0
1529273,2026-04-20,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Mumbai Indians,Gujarat Titans,Gujarat Titans,field,Mumbai Indians,199,Gujarat Titans,100.0,Mumbai Indians,Defended,99.0,,299,1,0.2,0.6,0.0,1.0,185.2,184.4,194.4,185.6,0
1529274,2026-04-21,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Sunrisers Hyderabad,242,Delhi Capitals,195.0,Sunrisers Hyderabad,Defended,47.0,,437,1,0.5,0.6,0.6666666666666666,0.3333333333333333,202.0,177.2,181.66666666666666,180.0,0
1529275,2026-04-22,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,field,Rajasthan Royals,159,Lucknow Super Giants,119.0,Rajasthan Royals,Defended,40.0,,278,1,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,167.33333333333334,165.5,172.0,175.0,0
1529276,2026-04-23,"Wankhede Stadium, Mumbai",Mumbai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,207,Mumbai Indians,104.0,Chennai Super Kings,Defended,103.0,,311,1,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,188.5,187.5,188.5,178.66666666666666,0
1529277,2026-04-24,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Gujarat Titans,205,Royal Challengers Bengaluru,206.0,Royal Challengers Bengaluru,Chased,,5.0,411,0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,170.33333333333334,203.0,187.83333333333334,192.83333333333334,0
1529278,2026-04-25,"Arun Jaitley Stadium, Delhi",Delhi,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Delhi Capitals,264,Punjab Kings,265.0,Punjab Kings,Chased,,6.0,529,0,0.5,1.0,0.3333333333333333,1.0,180.16666666666666,210.0,190.33333333333334,197.0,1
